Origin,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Dest,Count2,ArrDelay,15minArrDelay
ABE,2369,10.253430531732418,0.3596104561763198,0.03300871348026653,0.20543311122501282,0.0,0.4019477191184008,0.1418319966230477,0.01561840439003799,0.003799071338117349,ABE,2369,5.305172413793104,0.17602363866610385
ABI,161,9.968354430379748,0.1374255611543747,0.0,0.1456710948236372,0.0,0.7169033440219881,0.18633540372670807,0.018633540372670808,0.006211180124223602,ABI,161,7.3924050632911396,0.20496894409937888
ABQ,18967,8.06218799787573,0.2841772607273512,0.046971768234975064,0.17514099278847484,0.003586391636180493,0.49012358661301836,0.1622818579638319,0.007908472610323193,0.0026888806875098857,ABQ,18968,3.6729583156103787,0.17830029523407845
ABR,743,5.908719346049046,0.5495571488823281,0.008997610009841136,0.11696893012793477,0.00562350625615071,0.3188528047237453,0.0847913862718708,0.012113055181695828,0.0013458950201884253,ABR,743,-1.1945578231292517,0.09286675639300135
ABY,1002,7.714714714714715,0.44774599648245855,0.0,0.06933259279829677,0.0,0.48292141071924466,0.13972055888223553,0.0029940119760479044,0.0,ABY,1003,7.105315947843531,0.1794616151545364
ACK,612,14.898193760262727,0.2876331635016211,0.10903195924038907,0.26252894858730896,0.0070402964335340434,0.33376563223714684,0.20751633986928106,0.006535947712418301,0.0,ACK,612,1.5313531353135315,0.14869281045751634
ACT,1419,7.242556281771968,0.40474911998090807,0.0,0.08841954537318776,0.0,0.5068313346459041,0.1416490486257928,0.030303030303030304,0.0,ACT,1420,5.432197244379985,0.18309859154929578
ACV,1417,12.919177075679647,0.17285439842737793,0.03623285529196265,0.24648170486529955,0.006165393378903632,0.5382656480364563,0.2145377558221595,0.03952011291460833,0.0,ACV,1418,7.350890207715134,0.2150916784203103
ACY,3693,11.71737323358271,0.1381676728013358,0.0065138809886419935,0.626268371896732,0.00831207912071781,0.22073799519257234,0.20064987814784727,0.023287300297860816,0.0018954779312212293,ACY,3693,12.28117224218966,0.24099647982669917
ADK,104,-2.0297029702970297,0.21629213483146068,0.1797752808988764,0.175561797752809,0.2991573033707865,0.12921348314606743,0.20192307692307693,0.028846153846153848,0.0,ADK,104,-5.920792079207921,0.1346153846153846
ADQ,542,-4.260038240917782,0.33346550356859633,0.01704996034892942,0.12093576526566217,0.10943695479777954,0.4191118160190325,0.06642066420664207,0.03505535055350553,0.0,ADQ,542,-4.0,0.05719557195571956
AEX,2860,7.0702875399361025,0.37458343834887564,0.018762776890979865,0.1550029404351844,0.0,0.4516508443249601,0.14195804195804196,0.015034965034965035,0.003146853146853147,AEX,2861,3.0021337126600285,0.15693813351974834
AGS,2641,10.182164634146341,0.41801600595570443,0.008468267262237112,0.11452323345120666,0.0,0.4589924933308518,0.15297235895494132,0.006436955698599016,0.0,AGS,2641,6.387256772224342,0.1707686482393033
AKN,63,-3.015873015873016,0.1869747899159664,0.0,0.12394957983193278,0.39915966386554624,0.28991596638655465,0.19047619047619047,0.0,0.0,AKN,63,-1.6666666666666667,0.07936507936507936
ALB,9349,6.434477547495682,0.3315678101955755,0.042128887463930745,0.2597499198461045,5.129849310676499e-05,0.3665020840012825,0.13306235961065355,0.009626698042571397,0.002460156166434913,ALB,9345,3.1404039313100767,0.1637239165329053
AMA,3075,2.959921156373193,0.2895193977996526,0.06490059834008878,0.2713279289712411,0.0,0.37425207488901757,0.09365853658536585,0.010731707317073172,0.004878048780487805,AMA,3072,2.121202113606341,0.15885416666666666
ANC,17254,0.1965762198672412,0.45434199790185337,0.03168201422077165,0.20488401911644713,0.0006760694719664297,0.3084158992889614,0.07308450214443028,0.00573779993045091,0.002318303002202388,ANC,17251,-5.395604395604396,0.10921106022839255
APN,642,13.361022364217252,0.33767219872003473,0.08493328994467947,0.05325957262175941,0.0014101312506779478,0.5227248074628484,0.13395638629283488,0.024922118380062305,0.00778816199376947,APN,642,5.088424437299035,0.1557632398753894
ASE,4608,11.818285714285715,0.23565230842790647,0.058164226750481655,0.2461151190425966,0.0006609571221645643,0.45940738865685077,0.2013888888888889,0.05164930555555555,0.004991319444444444,ASE,4609,7.632141198327915,0.20503362985463225
ATL,384375,8.667100994243851,0.43812400302648347,0.059189655228097555,0.19583004128384204,0.0005258471026881621,0.30633045335888875,0.16107967479674798,0.005843252032520325,0.0021489430894308945,ATL,384252,0.011079162359706794,0.12910017384424805
ATW,3380,3.8394204648354964,0.32369642103896945,0.050747915247087834,0.2744086440183004,0.0,0.3511470196956423,0.10177514792899409,0.020118343195266272,0.0014792899408284023,ATW,3382,1.0329006942348324,0.14872856298048492
AUS,46266,8.350657550949313,0.29923816178739315,0.04262709403415794,0.21564241247254842,0.0009664773036644463,0.4415258544022361,0.15629187740457356,0.007564950503609562,0.0019452729866424588,AUS,46265,3.8953234742398464,0.17903382686696206
AVL,3396,11.920454545454545,0.3427790915762864,0.01985647883878333,0.2364429584930278,0.001977493272445568,0.3989439778194569,0.1684334511189635,0.016195524146054182,0.0032391048292108363,AVL,3395,6.075975975975976,0.17054491899852725
AVP,1668,7.043451652386781,0.4028523398947996,0.03915188981074779,0.32031885472588256,5.422699419771162e-05,0.23762268857437233,0.11031175059952038,0.02038369304556355,0.004196642685851319,AVP,1668,3.5279655808236017,0.14928057553956833
AZO,2078,4.9122893954410305,0.2975152655631937,0.08011060332578056,0.30773071162487037,0.0,0.3146434194861554,0.10731472569778633,0.02935514918190568,0.0014436958614051972,AZO,2078,1.9159622078567877,0.1381135707410972
BDL,20317,6.361413448635754,0.3446857443619346,0.04238131743652528,0.23924162156595763,0.0010183415906724488,0.37267297504491,0.13683122508244328,0.009893192892651474,0.0026578727174287544,BDL,20322,4.119743513271697,0.17759078830823738
BET,978,-7.866388308977036,0.09523809523809523,0.05952380952380952,0.17431972789115646,0.025935374149659865,0.6449829931972789,0.044989775051124746,0.02147239263803681,0.0,BET,978,-4.964509394572025,0.05623721881390593
BFL,2603,4.5909972836631745,0.3813142944879472,0.006794104099493321,0.19541685859051128,0.0005373867649316751,0.4159373560571165,0.10679984633115636,0.009988474836726853,0.001920860545524395,BFL,2604,5.109423676012461,0.16781874039938557
BGM,877,8.712485681557846,0.5059681697612732,0.038461538461538464,0.09217506631299735,0.0004973474801061008,0.3628978779840849,0.1322690992018244,0.005701254275940707,0.0,BGM,877,7.746559633027523,0.1619156214367161
BGR,609,10.073455759599332,0.3954114479690975,0.0176752897108744,0.24874165983846425,0.0,0.33817160248156386,0.16584564860426929,0.019704433497536946,0.0049261083743842365,BGR,606,6.706867671691792,0.19471947194719472
BHM,12300,7.708761826408885,0.3423370185244462,0.022677467805874967,0.23030392567240374,0.0004842456028037,0.4041973423944714,0.14040650406504065,0.012113821138211382,0.0027642276422764228,BHM,12302,3.070133509147849,0.15802308567712567
BIL,3412,0.7372003551346552,0.3667725173210162,0.04662240184757506,0.2084295612009238,0.0,0.378175519630485,0.0668229777256741,0.00996483001172333,0.0020515826494724504,BIL,3410,-0.7763274992583803,0.1281524926686217
BIS,2380,6.358029978586724,0.4853944057474199,0.06498668903395208,0.13362021808103278,0.0,0.31599868713759527,0.10672268907563025,0.018907563025210083,0.0029411764705882353,BIS,2377,2.6262323189027006,0.1480858224652924
BJI,730,7.18732782369146,0.3995639138729899,0.006677568819841918,0.10043608612701009,0.0028618152085036794,0.4904606159716544,0.09315068493150686,0.005479452054794521,0.0,BJI,730,2.484806629834254,0.11232876712328767
BLI,606,1.5206611570247934,0.39409282700421944,0.17341772151898735,0.15886075949367087,0.0,0.27362869198312234,0.08085808580858085,0.0016501650165016502,0.01485148514851485,BLI,605,-6.063545150501672,0.12231404958677686
BMI,1517,5.958195089581951,0.42777743083744457,0.01392618497470805,0.17310934865421845,0.0,0.38518703553362893,0.11799604482531312,0.0065919578114700065,0.004614370468029005,BMI,1517,3.6753160345974716,0.16018457481872117
BNA,51667,8.962619383121966,0.2759397359573031,0.04946925466016798,0.18956612262159686,0.0006640296842318784,0.48436085707670024,0.16859891226508217,0.011264443455203514,0.002148373236301701,BNA,51676,3.3725924763660613,0.16444771267125938
BOI,14706,6.623331279523516,0.37550247477371546,0.016769668298285433,0.2572260657934316,0.00010938226366594657,0.35039240887090156,0.13259893920848634,0.0070039439684482525,0.002243982048143615,BOI,14709,3.4109073491172848,0.16874022707186076
BOS,121260,9.192438973503025,0.30263226056384024,0.037890407688444136,0.31811005178032886,0.002129923053995839,0.3392373569133909,0.1760349661883556,0.012394854032657101,0.0030430479960415636,BOS,121253,5.600596960018728,0.20621345451246567
BPT,545,17.26078799249531,0.4776545698924731,0.0,0.1508736559139785,0.0,0.3714717741935484,0.1908256880733945,0.022018348623853212,0.007339449541284404,BPT,548,14.445714285714285,0.1989051094890511
BQK,1032,9.353982300884956,0.4267710371819961,0.0,0.10966731898238748,0.0,0.46356164383561643,0.12790697674418605,0.014534883720930232,0.0009689922480620155,BQK,1032,6.6328740157480315,0.17344961240310078
BQN,1872,9.981430912069907,0.0952550046606596,0.010342225575924364,0.13742287718052287,0.001242842558480181,0.7557370500244129,0.2329059829059829,0.0219017094017094,0.002670940170940171,BQN,1872,10.554039301310043,0.2702991452991453
BRD,640,5.88375796178344,0.46544387380777696,0.1574468085106383,0.16170212765957448,0.0010271460014673515,0.21438004402054292,0.0765625,0.01875,0.0,BRD,640,-4.22488038277512,0.078125
BRO,2043,4.058529264632316,0.2831013916500994,0.08389662027833002,0.2157554671968191,0.0,0.4172465208747515,0.09887420460107685,0.022026431718061675,0.0053842388644150755,BRO,2045,-0.062186559679037114,0.12616136919315404
BRW,940,-4.891921397379913,0.13425811245974734,0.033192965073074066,0.06712905622987367,0.02378003467921724,0.7416398315580877,0.07659574468085106,0.026595744680851064,0.005319148936170213,BRW,940,-5.629955947136564,0.07127659574468086
BTM,677,3.1982116244411327,0.6660863509749304,0.07137883008356546,0.052750696378830085,0.0,0.2097841225626741,0.06499261447562776,0.008862629246676515,0.0029542097488921715,BTM,678,-1.8411497730711044,0.05752212389380531
BTR,6901,11.707245093699276,0.5752956462789997,0.025440644772521843,0.13723071708345888,0.0,0.2620329918650196,0.167511954789161,0.018548036516446893,0.003043037240979568,BTR,6900,6.627827887032382,0.1798550724637681
BTV,4046,10.386765837394204,0.31091724221495215,0.02146405636045767,0.39315573557667344,0.0,0.2744629658479168,0.17350469599604548,0.03732081067721206,0.001977261492832427,BTV,4044,5.4341401273885355,0.19856577645895154
BUF,18021,7.144358438329849,0.29079442441883424,0.0486537713018903,0.2573319117970588,0.0012353827147958234,0.4019845097674209,0.13406581210809612,0.018145496920259695,0.0017202153043671272,BUF,18023,3.9606379368849676,0.1690617544249015
BUR,22525,6.91327106177519,0.16533321256767908,0.03270233278988789,0.23414950787995895,0.0,0.5678149467624741,0.1602663706992231,0.016248612652608213,0.0021753607103218646,BUR,22528,3.957309360318034,0.1639737215909091
BWI,96218,8.961723853618317,0.3478538064773205,0.06232262634759701,0.22624244570871982,0.0025501959134881457,0.3610309255528745,0.17731609470161508,0.01710698621879482,0.001974682491841443,BWI,96211,1.90674634709728,0.1483510201536207
BZN,4251,4.930601610611085,0.3187162961988689,0.018571616467184006,0.2642378008680784,0.0,0.39847428646586874,0.12185368148670901,0.007292401787814632,0.0028228652081863093,BZN,4251,-0.23113431419079258,0.13996706657257116
CAE,4434,11.029922338967564,0.4479744774184972,0.00982021202352863,0.2039978731182081,0.0,0.33820743743976606,0.15020297699594046,0.012629679747406405,0.0033829499323410014,CAE,4433,8.067858780375975,0.18745770358673586
CAK,5318,8.007074569789674,0.3110801251530404,0.026680043531492312,0.3729084478302272,0.0,0.2893313834852401,0.13651748777735992,0.016735614892816848,0.0022564874012786762,CAK,5316,3.5546605293440736,0.1636568848758465
CDC,626,0.1856,0.3007617546624639,0.021013921723141583,0.15918045705279749,0.0,0.5190438665615971,0.08146964856230032,0.001597444089456869,0.0,CDC,626,5.165064102564102,0.134185303514377
CDV,724,-9.062586926286508,0.29523809523809524,0.047619047619047616,0.12016806722689076,0.042296918767507005,0.4946778711484594,0.09116022099447514,0.006906077348066298,0.012430939226519336,CDV,725,-6.545710267229254,0.0703448275862069
CHA,4593,12.123519087319,0.42607428987618357,0.009988554780980126,0.15937095887153113,0.0,0.4045661964713052,0.15109949923797084,0.007838014369693011,0.0028303940779446984,CHA,4593,8.444078224566029,0.1839756150664054
CHO,2404,13.586440677966102,0.4852261207131024,0.02262443438914027,0.1704621318893257,0.0004203446826397646,0.3212669683257919,0.16555740432612312,0.018718801996672214,0.004575707154742097,CHO,2404,10.627501064282674,0.21214642262895175
CHS,14677,8.960706585993462,0.2804311672312904,0.017684016014782877,0.3025377271327379,0.0004496458269171543,0.3988974437942716,0.15595830210533487,0.02078081351774886,0.003202289296177693,CHS,14675,1.8742586002372479,0.15495741056218057
CID,4456,7.262116040955632,0.28938944639736064,0.05755974941576167,0.23226173877182302,0.0,0.4207890654150547,0.13016157989228008,0.013689407540394972,0.0026929982046678637,CID,4458,3.832306639288159,0.15477792732166892
CIU,686,15.395588235294118,0.3684580877825666,0.2627319905004838,0.054270384378573316,0.0,0.3145395373383763,0.12973760932944606,0.008746355685131196,0.0029154518950437317,CIU,686,1.175334323922734,0.12099125364431487
CLE,34111,8.812513003418042,0.32016279819894,0.0231478689117853,0.32238921042349034,0.00032517681489309814,0.3339749456508912,0.15619594852100496,0.014218287355984873,0.002345284512327402,CLE,34109,3.9676967964749315,0.1740303145797297
CLL,1134,1.2199281867145422,0.21662332032943216,0.0,0.28023407022106633,0.0,0.5031426094495015,0.10670194003527336,0.01763668430335097,0.0008818342151675485,CLL,1134,-0.572841726618705,0.13315696649029982
CLT,110676,7.996776108498105,0.33764248196206814,0.06953756039156046,0.2708329039121095,0.0036349199663393505,0.31835213376792254,0.15975459900972208,0.01128519281506379,0.0015540857999927717,CLT,110687,0.865621962625392,0.14164264999503104
CMH,23142,6.468066491688539,0.27034176687758604,0.042374441612806325,0.27476041434510023,0.0002858554830957664,0.41223752168141164,0.13555440324950307,0.01244490536686544,0.002851957479906663,CMH,23139,2.7211866631661854,0.161415791520809
CMX,736,16.507204610951007,0.3498452012383901,0.054314174182258715,0.2901467223044824,0.0043074438013191545,0.3013864584735496,0.13994565217391305,0.058423913043478264,0.002717391304347826,CMX,741,7.451754385964913,0.1767881241565452
COD,921,4.7839912280701755,0.5138641833211258,0.08653343099298944,0.08590561891807053,0.001674165533117087,0.3120226012346971,0.10532030401737243,0.009771986970684038,0.002171552660152009,COD,923,-7.012154696132597,0.06392199349945829
COS,8289,9.182751038358173,0.45230838483396324,0.05978449448107059,0.21510226665291232,1.8755919837198617e-05,0.27278609811221666,0.14887199903486548,0.012908674146459163,0.0027747617324164553,COS,8294,7.96937025238912,0.20207378828068484
CPR,1475,1.0390143737166324,0.2593424885559717,0.20549313358302124,0.1978360382854765,8.322929671244278e-05,0.33724511027881815,0.06847457627118644,0.009491525423728813,0.002711864406779661,CPR,1474,-3.4097460535346604,0.09023066485753053
CRP,2969,2.2622557422008915,0.20933905918357273,0.09097191371736019,0.242065254948418,0.0,0.4576237721506491,0.10609632873021219,0.018524755810037048,0.0020208824520040417,CRP,2965,1.775867995874871,0.14165261382799327
CRW,2552,12.024819855884708,0.29835054806070826,0.047928962900505905,0.22178014333895446,0.0,0.43194034569983136,0.17907523510971787,0.021551724137931036,0.00274294670846395,CRW,2552,5.213882163034706,0.1688871473354232
CSG,1235,6.872756933115824,0.2964623410498859,0.0,0.10384740789044669,0.0,0.5996902510596674,0.15465587044534412,0.0072874493927125505,0.0,CSG,1235,6.453431372549019,0.1805668016194332
CVG,15534,8.592691505992704,0.3142515049355264,0.028421348841572085,0.28860000993174684,0.00010483510541445731,0.36862230118574024,0.13879232650959186,0.01203810995236256,0.002059997425003219,CVG,15529,3.572285230087342,0.15454955245025437
CWA,806,4.6219667943805876,0.2670217693376563,0.005905511811023622,0.34205650764242707,0.0,0.385016211208893,0.11662531017369727,0.02977667493796526,0.0012406947890818859,CWA,805,1.6346153846153846,0.14906832298136646
DAB,1979,9.0927624872579,0.4132932166301969,0.08529358132749817,0.15540663749088257,0.0,0.3460065645514223,0.1298635674583123,0.008590197069226882,0.0015159171298635675,DAB,1979,2.066905005107252,0.13592723597776654
DAL,68963,10.391578793204452,0.28842958729314816,0.059974579650428655,0.19864009437097097,0.0072356615936731575,0.4457200770917791,0.2059800182706669,0.010193872076330787,0.002320084683090933,DAL,68962,4.123129271741692,0.1699631681215742
DAY,6498,7.6138147566719,0.3167666784327568,0.05711260148252736,0.3105118249205789,0.0,0.315608895164137,0.12773160972606956,0.02016004924592182,0.0012311480455524776,DAY,6495,2.8341985213150855,0.16058506543494996
DCA,77802,7.751756563308511,0.23770913458481735,0.0571282915613263,0.3012821179742744,0.0006866631293111521,0.4031937927502708,0.15173131796097786,0.02230019793835634,0.002403537184134084,DCA,77797,4.743179333148902,0.18609972106893582
DEN,226136,9.221672470432168,0.3005692296734031,0.05273334082809058,0.233502594702122,0.00041149649991976034,0.4127833382964646,0.18117858279973115,0.014026957229277957,0.0024144762443839107,DEN,226225,1.0970281963434345,0.1531263122997016
DFW,196049,11.000902638800058,0.3497791440175337,0.05522574952729689,0.20376697166759,0.0005865201450275864,0.3906416146425518,0.19498186677820342,0.011675652515442569,0.002361654484338099,DFW,196031,5.683691305452829,0.17719646382459917
DHN,1377,11.75985401459854,0.4477746538645165,0.0,0.05644262903824731,0.0,0.4957827170972362,0.17501815541031226,0.005083514887436456,0.0014524328249818446,DHN,1377,7.960439560439561,0.20334059549745825
DLG,84,-3.3855421686746987,0.5426944971537002,0.026565464895635674,0.08159392789373814,0.06261859582542695,0.286527514231499,0.10714285714285714,0.011904761904761904,0.0,DLG,84,-3.380952380952381,0.07142857142857142
DLH,2478,10.021576763485477,0.2510017495343981,0.09252779502229246,0.22334781872566173,0.00033861956092330267,0.43278401715672443,0.13196125907990314,0.02824858757062147,0.0012106537530266344,DLH,2479,3.9896179401993357,0.1553045582896329
DRO,1962,4.704392764857881,0.3696104010967143,0.02233228673771724,0.2713041171007827,0.0,0.33675319506478574,0.1325178389398573,0.013761467889908258,0.0061162079510703364,DRO,1962,2.8146417445482865,0.12996941896024464
DSM,7787,7.5116913484021826,0.3755202284165699,0.039839818041037554,0.23750241966705382,0.006303232675183895,0.34083430120015484,0.13740850134840119,0.012328239373314499,0.002953640683189932,DSM,7788,2.8332466857291396,0.16846430405752438
DTW,123959,8.762334971767478,0.4119739919326134,0.0430120741036591,0.26472357998334967,0.0007171176814843511,0.27957323629889347,0.1480812204035205,0.007558950943457111,0.0021216692616106937,DTW,124127,1.1109666409329162,0.13709346072973647
DVL,599,7.526223776223776,0.3008455718736093,0.2464026108885922,0.10873757602729565,0.0,0.3440142412105029,0.10851419031719532,0.045075125208681135,0.01335559265442404,DVL,601,-3.0899470899470898,0.12312811980033278
EAU,683,7.717522658610272,0.4363323500491642,0.08972468043264503,0.24963126843657818,0.0,0.22431170108161258,0.09663250366032211,0.032210834553440704,0.0014641288433382138,EAU,683,-0.9650986342943855,0.14348462664714495
ECP,4509,4.856983240223464,0.30476840449838283,0.045517937153200204,0.18940090798492626,0.0,0.4603127503634907,0.11133288977600354,0.007762253271235307,0.002439565313816811,ECP,4512,1.396868008948546,0.13874113475177305
EGE,1723,9.833530805687204,0.3397308811743367,0.07031678407221496,0.16180874847091575,0.0,0.4281435862825326,0.1625072547881602,0.021474172954149738,0.003482298316889147,EGE,1722,10.73744019138756,0.1957026713124274
EKO,639,-0.4315286624203822,0.3225348782218018,0.05414991723811776,0.15606526365571058,0.004965712934499882,0.46228422794986995,0.051643192488262914,0.017214397496087636,0.001564945226917058,EKO,640,-1.1517571884984026,0.0671875
ELM,1840,4.428806133625411,0.4584486643064049,0.01326037978757644,0.13427743804312842,0.0,0.39401351786289024,0.11467391304347826,0.008152173913043478,0.0005434782608695652,ELM,1839,1.6485447556287753,0.1473626971179989
ELP,11347,7.513089005235602,0.29495908253201303,0.04400179521213105,0.17299924562894492,0.0023108581686926465,0.48572901845821836,0.15854410857495374,0.007226579712699392,0.0027319996474839165,ELP,11349,5.899626931959496,0.19772667195347607
ERI,747,9.915277777777778,0.24525230602278894,0.09242177608970881,0.38958220293000545,0.0,0.27274371495749683,0.12985274431057564,0.03614457831325301,0.0013386880856760374,ERI,748,4.607293127629734,0.1537433155080214
ESC,627,10.51294498381877,0.24392136575271597,0.036989136057941026,0.04953440248318676,0.0,0.6695550957061562,0.1371610845295056,0.014354066985645933,0.001594896331738437,ESC,626,3.280327868852459,0.14536741214057508
EUG,3538,10.97737686139748,0.24930537546771386,0.022802207979846625,0.38128403660208204,0.00012966324602674766,0.3464787167043307,0.17297908422837763,0.013001695873374788,0.0014132278123233466,EUG,3536,3.8094964028776976,0.17024886877828055
EVV,2740,9.323922734026747,0.33696439660525773,0.012885530945973918,0.2689660525771062,0.0,0.38118401987166217,0.14197080291970804,0.018613138686131386,0.0025547445255474453,EVV,2741,4.9085161770174786,0.1594308646479387
EWN,702,8.721030042918455,0.549501733102253,0.0,0.10506932409012132,0.0,0.34542894280762565,0.12962962962962962,0.004273504273504274,0.0,EWN,701,8.804034582132564,0.19828815977175462
EWR,115783,13.774753636790239,0.3319276040165806,0.04513357815066857,0.20859163532561445,0.00033065117963040956,0.414016531327506,0.21922907508010675,0.025262776055206722,0.0028328856567889932,EWR,115945,8.565075160232192,0.22482211393333046
EYW,1749,8.322821100917432,0.3964021501942626,0.17531534408430466,0.09638618340518389,0.0,0.3318963223162489,0.10806174957118353,0.002858776443682104,0.002858776443682104,EYW,1749,2.3726169844020797,0.11892510005717553
FAI,2483,0.1053484602917342,0.4459014188689395,0.024073700490888306,0.14659404209535337,0.006321027503194136,0.37710981104162467,0.09544905356423682,0.00684655658477648,0.0016109544905356424,FAI,2484,-4.170186839967506,0.10909822866344605
FAR,3976,7.803287108371854,0.3456154796212433,0.10769864141622067,0.27165500205846027,0.0,0.27503087690407574,0.11971830985915492,0.02112676056338028,0.002766599597585513,FAR,3980,5.241583140580827,0.16030150753768843
