Origin,00.FlightCount,00.DepDly,00.ArrDly,06.FlightCount,06.DepDly,06.ArrDly,07.FlightCount,07.DepDly,07.ArrDly,08.FlightCount,08.DepDly,08.ArrDly,09.FlightCount,09.DepDly,09.ArrDly,10.FlightCount,10.DepDly,10.ArrDly,11.FlightCount,11.DepDly,11.ArrDly,12.FlightCount,12.DepDly,12.ArrDly,13.FlightCount,13.DepDly,13.ArrDly,14.FlightCount,14.DepDly,14.ArrDly,15.FlightCount,15.DepDly,15.ArrDly,16.FlightCount,16.DepDly,16.ArrDly,17.FlightCount,17.DepDly,17.ArrDly,18.FlightCount,18.DepDly,18.ArrDly,19.FlightCount,19.DepDly,19.ArrDly,20.FlightCount,20.DepDly,20.ArrDly,21.FlightCount,21.DepDly,21.ArrDly,22.FlightCount,22.DepDly,22.ArrDly,23.FlightCount,23.DepDly,23.ArrDly
ABQ,899,5998,6367,2312,7977,9054,1051,4850,5366,1626,13755,15554,659,3876,4179,1296,11837,11840,1507,9243,8633,1112,10260,9874,1277,12841,11570,670,13775,14338,1211,20259,18477,1649,21345,20380,1445,22899,21383,813,14330,14641,394,8602,8229,755,16510,17033,7,52,60,3,11,0,326,6356,5696
ANC,3313,17631,20735,1161,2849,4443,843,2008,3393,585,1496,2548,307,876,1203,576,1942,2527,962,1848,2792,690,4957,5306,714,4869,5206,1076,4611,4834,1347,5088,5569,672,3111,3926,330,1475,1922,515,2544,3500,876,5382,5360,464,10691,10614,655,6673,6286,234,1303,1422,1934,13199,14126
ATL,1189,3958,3852,4583,22521,23246,12844,70111,76555,28515,145121,146030,28645,180873,175605,29077,204115,190816,17185,135805,124661,25897,216808,200732,25307,248508,236334,19463,192962,188130,27199,319231,293013,27377,347566,320286,20202,293899,284799,14329,225888,216210,33073,447741,412316,15532,249908,224124,26225,339946,293167,22716,319129,278165,5454,86675,77847
AUS,1802,7483,7884,4766,22902,24628,3844,21238,22963,3247,23894,25981,1918,13236,14328,2610,20592,20416,2545,21528,20896,3022,26519,25990,2900,36391,36357,2828,33817,33664,3312,44131,42664,2866,48605,48465,3072,57469,50864,3628,59155,55268,1860,30668,29527,1556,22843,22548,484,7041,6925,129,1632,1562,79,2114,2031
BDL,709,2509,2712,3131,15763,19479,2221,14697,17715,2023,13431,13675,1098,7062,7240,1198,8628,8515,833,6484,5656,1311,10771,9737,552,6172,6021,691,7552,6541,902,12187,9834,1096,14985,14952,1784,24125,23521,1352,23465,21816,1051,15444,15265,127,2056,1742,147,3131,2903,65,1886,1997,108,3195,3221
BOS,4927,21111,23195,11147,47424,59692,11358,66349,76389,8664,66804,69624,9460,80066,85124,6044,47012,51396,7003,59626,59349,6146,52252,50817,5644,60358,60011,6402,87321,84817,6064,81762,85472,8897,140631,139459,9085,180239,172421,7289,150369,135081,7317,175098,161009,4604,109579,101948,1641,33699,31525,77,1258,1006,308,7364,6973
BWI,823,4273,4466,7004,31803,35436,6096,32696,36418,9041,51330,50337,5466,34961,29604,5990,33620,31101,4598,41444,38575,4570,41235,38773,5441,54002,52642,4947,56573,53190,5472,70535,70135,5944,84435,79302,6055,102455,101954,4726,94591,92138,5886,97606,91885,6204,93562,82248,2944,62998,52559,4940,68253,61313,186,2200,1998
CLE,622,5752,6105,4485,35052,35751,3554,38835,38338,2813,19191,19827,1400,13041,11889,1731,19711,18023,2217,20365,20072,1958,18553,18163,1169,16234,16559,2191,37877,38883,2092,23894,23619,1655,20369,20555,2520,40361,39479,2538,50373,49811,2057,34210,32967,359,5165,5159,728,15729,15519,54,987,905,1,0,0
CLT,682,8189,8109,2013,11085,12197,9699,35527,41987,2394,18209,18709,11834,62886,67565,1566,14044,12641,11291,74373,78717,2128,17677,17638,7900,67160,69321,9439,85212,93929,1582,23982,26316,11326,131098,147242,5303,85764,91765,9334,144930,157962,5061,81319,82669,9744,178732,187193,227,4908,4582,11261,147523,145716,9,138,85
CVG,279,1955,1917,809,6781,8524,1023,7972,8637,797,3989,4271,3142,25253,27493,368,2698,2558,794,7896,7745,200,1347,1584,543,6834,7841,1001,15183,15818,559,8719,10196,2012,25533,26469,937,13930,15622,827,13518,13980,468,8487,8135,1769,33688,33659,3,80,54,2,0,0,1,0,0
DCA,990,2138,2495,7330,24220,31597,6175,35451,42944,5760,39610,49144,3657,26084,27155,4074,31237,34831,5829,38090,43557,4853,38614,42540,3901,36186,41579,4833,51779,58948,4375,57323,66232,5091,82111,88399,7614,136528,155165,4954,95723,99093,4114,72519,77606,3731,67599,65835,666,10694,10401,595,7862,9350,4,74,78
DEN,3519,25382,26139,8062,39023,41590,10600,75042,79303,15256,102142,108258,14827,124103,123081,17100,142474,134675,22882,204912,194396,14108,145652,142156,6965,76480,73590,12357,139306,140022,17165,214328,207841,9303,178530,175195,15821,238209,229463,16106,268455,263863,15879,250846,239507,10421,180338,167575,5230,79881,73403,6809,87621,78826,4071,79885,69454
DFW,2074,14451,15750,5670,38658,44893,16454,113402,135910,10995,82041,95216,11643,118146,124026,15766,174247,182934,9258,116123,119904,17832,201994,212521,10594,137529,150818,12481,175566,188870,10409,155945,167901,14362,241448,257079,9144,165519,165360,19074,347566,348262,6022,127151,125083,18510,340837,331210,1649,18285,18768,7762,135984,137293,1057,18197,17013
EWR,1375,6848,6656,9897,59051,61516,9036,64109,67716,8112,69206,71893,6439,56538,56709,6641,60167,57916,5349,55045,49514,6631,74097,67354,6666,76201,70873,6602,110688,105148,7987,153922,153583,7992,169309,169240,8337,195818,187428,6575,180928,160697,6328,184302,161193,6915,198598,173433,4438,114472,100424,561,14522,12577,188,3755,2907
FLL,1167,3152,3481,4382,12477,16449,7993,48161,52409,5187,29650,30885,3916,29720,30433,5015,39774,37320,4768,50070,46896,4192,49878,47148,4474,71325,69877,4280,65107,68710,6149,110980,112651,4182,77579,80201,4648,85039,82646,6261,130583,125750,5196,120091,113913,6879,154656,145992,3136,77932,70370,970,20594,19051,700,13089,12073
HNL,2067,904,1599,1835,2028,2099,3124,10911,12738,2662,3815,5637,2032,3598,4442,1666,5624,6753,2687,8858,9244,3118,21892,20809,3811,25903,28541,4629,38178,38338,3543,26802,24489,2581,21034,20283,2266,11035,10337,1908,7934,9096,2022,8858,8647,2475,19662,18068,2548,19791,19414,1955,17629,16984,619,5873,4611
IAH,1682,10532,11012,1951,17007,18487,11488,73609,74368,7193,52782,52105,9545,74116,69636,9425,78972,76115,7011,65047,57044,9289,88243,87460,10153,111850,117124,9783,120197,112204,9622,129432,130430,5497,92549,89332,10716,166968,160881,5391,92146,78793,14048,223347,199486,3094,42861,36940,10239,130540,114417,585,10531,8829,665,6452,5278
IND,832,4009,4339,3238,13983,15970,3102,19954,21484,1601,9368,10270,1083,10371,10586,1223,7907,7462,1627,12669,13179,1318,13152,12473,956,8443,8544,1773,20339,21742,2057,21863,22204,2428,36564,35101,1598,28297,27728,1735,31737,30253,1463,24864,23791,752,14566,14207,215,4708,4196,18,203,178,1,0,0
JFK,1100,6303,8722,4865,24561,30043,7680,49121,56936,10129,80749,91164,6851,62892,66459,3124,33025,34969,6881,77449,81931,3625,43941,44344,4132,53146,54856,4761,86850,85884,6487,105383,103527,5258,92849,94619,6577,130985,130797,6374,149321,143968,7385,185749,180441,5352,147138,142092,4150,117812,114076,2958,70760,69087,1083,19768,18874
KOA,1,0,0,406,465,781,277,248,506,428,621,1068,675,812,1545,687,1577,2535,818,2736,3151,1087,5676,6123,1355,9062,9001,822,7493,6922,1357,12722,14164,619,3506,3775,437,2162,2675,350,1333,1655,409,1142,1243,696,7738,6855,961,11866,9628,745,8550,7106,349,2782,2452
LAS,6463,53698,52802,8870,30614,35777,7572,36399,42532,9694,64686,73646,10381,79343,82799,9528,92463,92826,10983,114565,118505,8331,107309,104811,10654,144686,143450,8768,139222,131063,7304,117699,105597,8512,138416,130058,8700,147502,139655,7495,141424,130750,7089,122780,125311,5587,109042,109627,5330,98303,95324,5500,83268,78640,4522,60405,53477
LAX,6504,64992,55960,11232,47220,50136,10817,66779,72774,18775,178005,196246,15569,210665,203287,14905,228835,221450,12720,196626,191845,12917,198592,194852,13101,211462,202408,9754,169461,155913,9260,137730,133486,12573,194897,183967,12135,184190,182127,10703,185621,175324,10659,190609,185888,6182,130002,124953,9572,170150,160443,9745,171826,158251,7956,119108,112112
LGA,1366,3996,4412,6796,30221,38594,6752,36944,41820,6750,58005,60707,8095,82459,86878,5373,58225,60196,6648,75140,70486,5483,59162,57549,5693,77143,78277,5839,97020,99188,7134,131607,144023,5929,135102,139362,5959,149484,151548,6145,153380,146688,5356,164726,151134,4456,121635,104780,3306,117510,108812,333,8784,7502,1,6,0
LIH,1,2,0,434,148,363,278,136,351,400,480,990,475,693,1464,574,625,1257,607,1689,2371,992,5065,4918,1220,10472,10067,1221,11009,11297,1040,6724,7510,564,1926,2332,682,2157,2593,402,837,1042,363,879,1055,683,3233,2805,702,6012,5244,967,7382,7640,290,1988,1540
MCO,1511,7193,7012,7486,31105,33821,10116,49725,56412,8475,44727,47253,6518,43695,42973,8732,68710,68022,9836,92242,92989,7682,87127,84630,7434,100676,102033,7000,115031,113810,9306,158414,155616,5230,90072,86965,9060,166434,161032,8474,163529,158614,9121,185325,175584,5005,103475,95785,3694,97012,87603,1478,36609,32808,416,5594,4547
MDW,2173,4421,4830,4866,11482,14851,4672,23281,24489,7356,38373,40288,4723,29156,24483,3775,26268,23971,3863,30712,28827,5145,46301,44185,7107,62954,56824,5114,66491,60100,4549,61018,55089,3811,51307,46903,5264,90087,84485,4457,73806,65355,7086,114757,98065,4531,77782,62044,6716,80762,69585,2539,45372,40354,62,787,586
MIA,705,3739,3388,3000,21677,23473,7342,54549,63524,1428,9533,9934,5916,58408,58513,1610,19566,18631,3640,35572,36034,5530,73744,77006,2094,38766,40264,6426,115420,130053,4045,80792,83535,3511,61260,69258,4740,99456,105413,2137,44904,47005,3696,67439,67281,9110,173401,179932,6869,136439,119220,16,132,127,13,260,183
MSP,3400,19145,21273,6025,31967,40093,7350,42558,59718,3013,25602,25982,11623,85555,94442,7432,49247,56560,12858,107862,116343,1244,12495,12325,12266,118723,125810,6918,70698,73997,11303,127413,138152,3385,52305,54814,12424,177034,190943,2353,39429,42170,12061,169601,173104,9342,120190,132993,2071,17947,18191,4522,74914,70546,1,26,0
MSY,1126,5399,5841,4004,22491,23770,2916,13904,16793,2284,13451,14722,2767,19063,19342,2324,16141,16494,2575,19302,18409,2528,22705,21550,2946,28811,29032,2459,32758,32169,3386,49436,48148,2941,39631,38252,3422,62261,59748,3707,53976,50288,2510,36304,34127,904,13267,12450,666,10578,10394,180,2698,2394,2,0,0
OAK,1304,2053,2471,4511,10754,12238,3565,12257,17091,2585,14488,15782,4562,28310,31826,3345,22913,24283,2911,26560,25335,2826,33644,33020,3341,41981,39325,2226,26276,25250,2153,30808,28873,2656,41784,39958,2239,35782,35075,2939,46976,46784,2953,45171,42336,1967,33807,32542,2311,36512,37892,313,5739,5727,157,5644,4213
OGG,39,790,659,511,263,515,585,1433,2121,671,1365,2245,794,916,1910,1214,3961,5352,1905,10484,10153,2081,13785,14455,2317,16982,19298,2384,20214,20228,1774,16402,16592,1203,10090,9205,735,5288,5596,1243,9036,9532,412,1342,1628,1064,8105,7265,1955,18934,16856,1467,16676,14127,1159,12658,10745
ONT,1052,5780,4927,2875,10319,11384,1164,7301,7423,1128,15107,15991,1356,12893,13327,1714,12207,12051,859,5854,5871,1611,21222,20889,851,9102,8555,1173,16171,15603,626,11864,11086,1010,14690,13316,1074,19002,18046,652,11154,11315,1114,21976,22016,974,11177,11057,487,8270,8264,28,217,120,13,309,368
ORD,3510,22317,24254,9868,75421,75137,19754,166643,178481,15248,143995,151767,19456,229927,230895,15123,168276,172039,8062,104861,101655,18133,230893,228223,18773,272086,280181,10069,155893,151129,16923,267221,270389,11764,219408,216666,19546,403558,393751,15145,360992,348051,18886,434160,399225,13412,298373,284673,9371,173720,156062,3490,55213,49070,188,3442,2497
PDX,2967,17177,16850,6824,24780,31356,4095,21368,23925,2653,14803,15796,4036,23320,28144,4124,35110,39147,4199,32655,32218,3655,36673,36114,4109,41068,38161,1800,22586,19709,3119,39559,38489,2532,26899,28165,2140,24804,24836,3977,51106,51721,2495,40026,41557,1870,16523,17421,1020,10378,11287,1517,12717,10309,1664,22619,17490
PHL,1686,8177,8996,4513,29455,35477,7786,46858,63439,3704,20966,27823,5318,43545,47395,3844,32927,34243,5111,43556,45233,2307,21909,22103,3735,36430,39457,3562,36986,44974,4558,53889,61603,5154,70844,78416,6266,114142,124176,7802,140000,138994,2216,47407,46620,5116,74383,74913,936,17754,16314,900,11166,11308,14,256,207
PHX,5123,30883,31490,5795,20246,21311,8923,46059,57291,14836,80553,101898,10094,65134,73314,13197,105346,109870,9639,87868,90636,8834,86697,90210,11585,107472,110644,9733,106136,105999,8966,118984,120646,10197,113241,111905,7707,93919,90987,9863,135539,135591,7744,116013,108912,8233,133986,128215,6353,90624,85753,3233,47454,46325,2466,26347,25079
PSP,57,1204,1131,1810,14266,14248,957,14624,17447,496,17158,18122,40,468,711,632,9422,9302,1010,12897,13690,1074,14609,14874,959,12691,11822,321,4576,4443,682,11377,11288,604,11628,11577,566,8224,8459,593,8892,9171,125,3413,3755,9,245,254,3,0,0,42,1358,1147,81,1323,1419
RNO,911,3594,3941,2138,15373,16612,679,4202,5844,506,4145,4386,887,5323,5872,1120,15497,17399,411,5578,5219,1817,22092,22134,1181,14871,14350,511,8102,7420,418,6832,6101,830,9741,9575,689,10116,9063,548,7930,7787,626,9611,10588,434,6173,6871,109,1711,1722,97,2350,2513,301,6049,4510
SAT,1671,7011,8066,3990,18226,20448,2070,10310,12159,2192,15247,15915,1120,5469,5527,1882,15360,14651,1312,13293,13238,1974,18331,17495,1865,17278,16682,1849,20180,20238,1016,17485,17566,2118,30506,29625,2321,33019,31631,2334,30658,30329,1766,24938,23880,1154,20092,19608,317,6132,6232,16,127,120,58,1397,1419
SEA,5042,29505,29568,8867,29448,41684,10746,72859,86975,9226,60661,77931,8579,71935,78363,7983,61705,65152,12144,116914,124866,5795,60336,62234,6638,75283,71406,7323,79260,73791,7066,75481,74083,4853,44844,44754,5204,60211,59417,9143,81109,82508,5463,49047,50288,5024,49964,53385,5506,52323,52109,3866,41943,39384,4482,42072,35992
SFO,3521,26065,24426,10465,43197,48820,10035,57079,66638,13144,112675,124752,11208,113634,118240,13125,225530,220504,11015,193393,191202,10817,205332,196596,11055,228666,216324,9123,175107,164972,7976,138031,129328,10276,180618,168645,8272,149150,145886,7862,128065,124581,8216,142989,145186,6025,102985,104984,6751,98249,94765,8794,112714,98747,5515,78760,65607
SJC,2,0,0,4624,22190,23526,2939,15501,19304,3032,13573,15234,3277,22754,25809,3241,27115,28034,1888,15932,16116,2459,22763,21629,2940,31390,29149,2261,25060,23634,1795,21410,20248,2077,27859,27391,1739,28011,27506,3061,40606,41794,1888,26687,26244,2051,36799,35703,1716,26121,22320,1143,18888,16828,171,2667,1731
SJU,2138,35234,30397,1659,10839,10892,1553,5283,6425,1012,5076,6861,1076,8901,9155,812,5616,5921,1118,10499,9843,1866,17784,16310,2101,20347,19718,3084,34460,33524,2432,31693,30971,2091,26528,26569,1914,26241,26111,1504,28289,26430,1513,27039,24570,753,13654,12164,441,10949,9976,78,1669,1366,3,331,325
SLC,2292,13011,13595,3171,11875,15373,3644,16693,22336,9595,67120,77242,9287,53121,64823,3133,26857,28785,15265,115084,125500,1553,17265,16681,6525,63347,67487,3371,39473,39544,11567,100504,101781,5211,51311,49296,9012,88686,85548,1151,18260,19039,986,14978,16002,11308,102594,104795,4074,27782,30211,6408,48259,47644,1469,25124,20837
SMF,2065,10506,10166,4587,22138,23910,2393,12452,13368,1997,10986,12104,2557,22278,26067,3098,22780,24035,2667,27507,27985,2451,28459,27776,2341,27418,25249,2336,32175,29714,2089,25885,23961,2155,33766,33063,2332,33171,32887,1811,27978,26627,2725,37293,39147,1418,25427,26131,1067,15101,14336,699,9729,9493,636,14996,11357
STL,1689,5989,7521,4021,18987,22585,4049,27895,30812,4072,25334,26427,4326,32177,32246,3604,26042,24791,2522,24093,24273,1971,18380,18528,3473,42133,42947,3408,42487,40628,3924,56672,54797,3438,47726,47142,2639,43075,40951,3319,51243,48463,3712,61105,54755,2309,48606,44403,2815,53133,46659,534,8024,6665,2,0,0
TPA,1146,4702,5053,4246,11856,14178,6332,27131,32821,4779,20805,21166,3685,23115,23345,3574,18778,17525,4577,36998,35981,3956,39121,34676,4847,58145,55541,3533,52205,51402,4348,72673,69086,4077,57430,55059,4704,77098,73430,4830,83197,79075,5599,107884,101878,2345,48215,44637,1313,28932,25876,440,12005,10478,19,210,173
