Origin,Monday.FlightCount,Monday.DepDly,Monday.ArrDly,Tuesday.FlightCount,Tuesday.DepDly,Tuesday.ArrDly,Wednesday.FlightCount,Wednesday.DepDly,Wednesday.ArrDly,Thursday.FlightCount,Thursday.DepDly,Thursday.ArrDly,Friday.FlightCount,Friday.DepDly,Friday.ArrDly,Saturday.FlightCount,Saturday.DepDly,Saturday.ArrDly,Sunday.FlightCount,Sunday.DepDly,Sunday.ArrDly
JAC,531,7031,7430,509,6706,8377,510,8014,7518,514,7657,7778,541,9707,9906,678,14498,14795,648,8188,7969
JAN,798,8547,8408,762,9969,9828,777,7860,7859,796,8449,8586,815,7938,8027,547,5189,5435,706,8219,8244
JAX,2789,29827,29061,2761,31681,31679,2792,25941,26356,2785,31537,31509,2859,31570,30314,2230,21821,21543,2528,26900,25492
JFK,14498,227255,222910,13719,178178,175207,14021,155222,158090,14554,241506,260232,14752,278216,288611,12951,208947,203373,14277,248478,244366
JLN,63,867,756,63,510,563,62,1298,1344,62,494,508,62,656,434,62,330,453,62,1330,1301
JMS,156,1906,1856,104,1006,960,156,589,709,155,3780,3542,159,1904,1817,80,343,358,129,2069,2287
JNU,674,4377,4568,673,3992,4627,658,4502,4935,667,3718,4083,676,4066,4310,602,5590,5253,630,4168,4176
KOA,1710,13779,13438,1611,9216,9243,1703,8894,9297,1742,10058,10065,1910,11081,11434,1966,16105,15781,1837,11358,11927
KTN,356,2470,2459,357,1848,1870,357,2797,2862,354,1811,1780,363,3540,3723,332,3081,3126,356,2703,2831
LAN,363,5360,5685,363,4607,5113,372,6404,6842,374,5500,5904,384,4257,4842,267,1791,2213,311,2161,2392
LAR,104,1907,1954,104,603,748,104,669,629,103,1410,1380,105,956,876,53,98,156,53,1021,999
LAS,21821,245452,243365,21512,239763,227083,21690,233658,225023,22017,331036,324716,22608,336793,336864,19929,218389,205936,21706,276733,283663
LAW,162,3913,4064,165,1887,1970,166,1443,1535,163,2326,2509,167,2633,2821,156,2884,2976,161,1093,1206
LAX,31627,473871,454918,30813,371011,350465,31279,403956,393577,31840,476869,466175,32531,541901,537517,26823,328849,311346,30166,460313,447424
LBB,677,6440,6311,668,4962,5213,674,4602,4794,685,8445,8319,691,6972,6606,551,3549,3759,631,5480,5476
LBE,165,1702,1721,129,2257,2509,117,1441,1569,155,1454,1663,168,2537,2580,147,1923,1970,165,2012,2218
LCH,190,2062,2268,186,1471,1344,189,2253,2368,194,2533,2631,191,1526,1556,139,2213,2187,175,2162,2292
LEX,786,10083,9632,784,10899,11169,784,9159,9424,781,10777,11080,810,12626,12679,532,5471,5383,693,11833,12012
LFT,472,9420,9372,443,3556,3636,457,4544,4948,463,5702,5827,484,5872,5672,324,3135,3070,452,7497,7578
LGA,14964,247777,242585,14893,235785,242807,14992,195107,201180,15153,267385,272366,15312,297523,301117,9611,131985,120941,12489,184987,170960
LGB,1637,16728,17203,1539,15250,15538,1542,13592,13123,1633,24642,25321,1677,27697,28096,1511,15483,15251,1624,22695,23101
LIH,1606,7517,7891,1575,7515,7545,1589,6199,6979,1662,9194,9866,1877,11273,12174,1874,10948,11004,1712,8811,9380
LIT,1255,10693,11112,1247,10155,10324,1253,11364,10917,1270,11394,11485,1293,12692,12726,926,7582,7632,1149,10171,9924
LNK,450,3981,4405,464,4228,4390,437,4258,4724,452,4950,5382,460,6538,7200,346,2620,3118,445,5425,5649
LRD,324,4482,4548,306,2488,2893,332,2999,3075,324,4691,4787,334,5733,5768,245,1908,2108,258,4200,4293
LSE,107,703,732,114,694,835,114,562,711,112,1520,1484,113,525,554,83,368,356,113,1211,1378
LWS,103,419,495,101,100,113,101,105,105,103,2039,2101,104,391,478,103,430,430,100,382,443
MAF,903,7218,7665,891,5494,5679,903,7449,7940,890,7701,8103,907,8931,8945,590,5670,5661,769,7561,7642
MBS,288,3533,3692,292,3793,3675,302,2626,2814,302,4007,4202,305,3689,3783,234,2171,2308,272,4500,4754
MCI,6492,61398,62609,6494,58107,60222,6480,56446,57719,6565,72984,73262,6626,68278,69518,4992,45674,45693,6100,59172,60888
MCO,17962,237003,227379,17521,222572,217438,17697,188249,183345,17964,253959,259043,18448,252210,248563,19183,271846,259430,17799,220856,212311
MDT,384,5642,5621,392,4797,4969,392,4352,4555,388,4215,4381,398,4080,3616,265,3504,3464,342,4366,4115
MDW,12900,119631,105854,12970,122868,110557,13025,149005,141309,12918,155863,141498,13108,132473,116799,10907,110370,93590,11981,144907,135707
MEI,156,2568,2775,156,2147,2229,156,3322,3359,155,5154,5397,159,4301,4324,106,1524,1645,104,2569,2664
MEM,2138,23159,22236,2109,21794,21619,2087,20615,20890,2147,22981,22206,2187,25575,26386,1571,14568,14284,1952,18010,17345
MFE,336,3937,4113,329,4094,4126,328,4571,4626,326,4224,4108,337,5861,5462,274,1094,1002,296,2773,2517
MFR,429,6802,6562,434,6153,6140,435,5333,5053,425,5635,5769,436,7401,7449,382,3583,3731,425,8637,8291
MGM,370,4949,4692,376,5774,5557,371,4458,4485,377,6563,6330,380,7737,7376,250,2712,2460,325,3849,3783
MHT,971,8968,8869,976,8224,8176,991,9244,9630,981,9226,9373,996,10026,9600,902,6625,6444,895,8325,7787
MIA,10252,140221,144370,9889,138259,145312,10112,144275,152893,10384,151403,164255,10583,175340,183514,10316,184631,183974,10292,160928,158456
MKE,4897,52679,54101,4854,47808,49861,4922,48007,49671,4902,55138,55984,5002,54795,55016,3564,32152,33572,4472,46295,49471
MKG,104,1502,1538,104,1128,1177,104,1257,1426,103,1467,1396,106,1173,1217,59,909,894,103,2703,2784
MLB,230,3153,2950,224,2334,2254,225,1871,1759,228,1263,1157,232,2709,2475,161,1262,1213,218,2034,1985
MLI,364,5170,5418,382,5019,5032,383,4892,5168,372,4601,4746,377,4029,4167,298,5305,5201,351,4666,4927
MLU,469,5902,6280,454,5392,5692,454,4648,4946,478,6878,7307,487,6814,6804,320,3569,3865,411,6808,6984
MMH,15,405,364,15,32,31,15,70,61,15,57,65,17,405,444,24,1225,1204,16,184,234
MOB,755,9660,10514,725,7074,7825,739,7292,8166,761,9645,10269,766,10934,11240,504,4096,4184,657,8071,8472
MOT,245,2466,2574,238,3376,3758,252,2103,2425,235,4168,4395,249,2927,3167,189,2008,2142,239,3017,3011
MQT,105,3362,3420,106,739,846,105,1659,1865,106,1847,2082,105,1642,1699,70,2524,2753,100,2312,2551
MRY,371,5849,6420,365,4097,4515,376,3522,3952,373,3941,4352,379,3678,4237,310,2889,3171,370,4642,5368
MSN,1156,12623,12364,1098,10022,10156,1172,12019,12661,1128,14246,14592,1183,11629,12306,789,5970,6734,1006,9050,9017
MSO,408,5767,5635,365,2564,2625,398,1413,1497,370,3899,4127,412,3324,3596,356,2980,3105,373,4152,3705
MSP,19299,215405,223219,19203,216922,229149,19418,196008,220447,19558,212260,232259,19852,203898,232790,14332,123576,128796,17929,174642,180796
MSY,6425,65195,64944,6351,57712,57515,6418,68729,67867,6444,78184,77228,6543,78184,75740,5259,48260,46412,6207,65912,64217
MTJ,132,1403,1353,122,605,564,157,1575,1725,142,1939,1913,149,2701,2677,223,3828,3576,175,2787,3100
MVY,40,811,682,22,496,509,21,388,379,40,1435,1368,45,944,1053,35,657,535,45,1172,1134
MYR,798,11296,11403,779,9314,9267,797,12318,12209,823,13899,14029,813,12342,11876,884,9138,8948,860,9741,9657
OAJ,196,2057,2145,193,2966,3190,194,3837,3855,195,2594,2730,196,2461,2686,135,1849,2088,160,2177,2342
OAK,7214,68976,67480,7273,57714,56928,7297,67493,65943,7299,86557,88632,7419,93801,95366,5685,50818,50129,6677,76100,75543
OGG,3258,23012,22765,3192,20901,20551,3228,18841,19482,3297,23848,24351,3487,26631,25703,3675,29624,29292,3376,25867,26338
OKC,2354,24591,24458,2368,19838,18984,2346,17539,17238,2364,22336,22335,2406,23509,22856,1742,16156,16487,2144,22242,21529
OMA,2688,21585,21778,2624,27675,27668,2700,27890,28025,2672,29776,29828,2750,30412,30897,2122,21125,21494,2517,23301,21992
OME,103,392,436,104,466,564,104,754,848,102,359,517,105,842,962,106,656,808,100,418,470
ONT,2930,35723,34945,2897,28751,28074,2892,25849,25192,2952,33608,32635,3007,41685,41930,2387,20176,19805,2696,28823,29028
ORD,36409,542421,522942,36220,499799,489672,36305,609803,630411,36572,583844,592456,37264,616394,595894,29458,379352,348841,34493,554786,533929
ORF,1634,21128,20874,1623,19782,18940,1669,18765,17928,1660,19862,19100,1682,20972,19928,1348,21499,21415,1522,22151,20558
ORH,104,1830,1701,100,2496,2657,103,1125,1059,102,1798,2062,105,2254,2346,104,1531,1530,103,1189,1160
OTH,51,1418,1376,20,745,770,38,358,332,51,1030,1097,51,1811,1802,22,335,317,67,1211,1223
OTZ,103,950,977,104,308,355,104,274,363,102,373,360,105,952,985,106,263,253,101,310,339
PAH,105,2607,2621,104,1590,1640,104,1838,1951,103,1048,1270,106,1175,1297,59,212,201,103,1493,1600
PBG,28,420,475,79,941,845,28,184,201,88,807,758,30,419,451,60,886,860,58,400,395
PBI,3552,56247,54757,3479,53419,51761,3506,42817,40501,3547,53907,53076,3651,64085,61241,3214,44163,41817,3447,51927,49227
PDX,8570,81511,78589,8379,66296,64423,8516,65040,66995,8714,87823,91036,8829,89824,95127,7441,53731,53531,8347,69946,72994
PGD,9,26,4,17,260,225,9,155,130,16,251,240,9,164,150,9,38,74,14,261,195
PHF,164,2388,2220,163,3464,2575,163,1239,1274,167,1358,1156,170,1527,1373,142,560,475,158,1843,1526
PHL,10910,136212,148997,10785,107647,116463,10902,107111,121273,10989,137012,152790,11149,135653,148228,9399,109326,115401,10394,117689,118539
PHX,23523,235626,238120,22519,204885,213857,23524,215777,221093,23931,260378,271934,24568,276102,287507,21546,195134,190017,22910,224599,223548
PIA,431,6446,6520,432,5347,5770,435,5393,6051,435,6437,6848,446,6145,6436,344,3247,3564,429,7390,7532
PIB,104,1325,1497,104,1413,1528,104,2141,2367,104,1375,1703,106,2338,2535,53,133,232,52,1349,1436
PIH,146,1226,1489,147,688,979,148,1325,1622,146,585,944,148,1051,1332,94,693,694,97,205,428
PIT,3769,31320,30681,3712,32166,33167,3815,28524,28576,3774,32759,31935,3854,32246,32336,3088,31012,31384,3439,30577,30683
PLN,169,2756,2415,169,1230,1072,169,1561,1533,168,5111,4925,171,3142,2953,109,1822,1626,146,3227,3278
PNS,856,7723,7619,846,9788,9295,846,7394,6721,860,8420,8191,884,10273,10268,858,5891,5733,826,6726,6398
PSC,551,6215,6540,553,5203,5498,554,5118,5343,550,5367,5705,563,8557,8928,498,5038,5571,539,5547,6007
PSE,122,2087,2034,126,719,616,123,611,566,117,854,840,125,1718,1681,127,1379,1339,123,1184,1228
PSG,104,567,616,104,636,676,104,699,755,102,255,291,106,400,488,106,1047,993,102,881,886
PSP,1444,20145,21350,1338,19195,19869,1340,20873,21572,1452,22088,22923,1504,26817,27113,1480,19593,19501,1503,19664,20532
PVD,1880,17115,17913,1858,14600,14392,1883,15317,15287,1885,14509,14385,1912,19734,19508,1596,14547,14653,1700,15981,15414
PWM,935,12106,12596,936,10995,11789,923,12585,12961,946,17651,18282,967,14740,14643,794,9057,9070,869,10398,10556
RAP,429,5058,4994,443,6782,7030,433,4719,4722,438,3899,4041,457,4955,5335,386,3226,3375,418,4161,4051
RDD,142,2482,2561,143,1519,1487,143,2391,2248,143,2394,2403,144,2714,2791,138,1122,1122,138,1778,1687
RDM,403,4256,4729,405,6489,6643,406,6131,6381,408,5447,5770,415,8163,8499,349,3746,4363,401,7033,7228
RDU,5221,61621,63506,5205,62744,63759,5202,54100,55123,5309,62998,64563,5339,65865,65266,4014,42465,41724,4850,57624,55502
RHI,156,1983,2045,156,1610,1857,156,2108,2527,154,1807,2025,159,1286,1422,106,1624,1702,155,1213,1399
RIC,2412,39078,40233,2381,38788,39898,2429,30583,31828,2448,35597,36082,2492,38135,36770,1598,17176,17166,2187,25423,25522
RKS,101,228,333,101,719,910,101,474,472,100,973,1103,103,749,931,53,38,90,101,1009,1142
RNO,2078,24369,24411,2043,17376,17144,2046,20931,20580,2086,26588,27757,2121,27802,28941,1811,15518,15761,2028,26706,27313
ROA,337,5252,5302,323,3890,4096,335,3128,3234,334,3829,3999,341,4959,4807,229,1686,1602,315,4012,4024
ROC,1108,13873,14435,1091,9476,9798,1098,10435,10214,1107,14696,15018,1121,14890,14932,906,8709,8508,973,8951,9246
ROW,60,353,409,57,246,401,47,82,184,61,808,1033,61,505,488,94,1285,1303,60,708,836
RST,178,1582,1608,179,3189,3018,180,2142,2158,180,2717,2630,177,1751,1773,142,2411,2348,175,2196,2144
RSW,4113,48553,45285,4153,48484,47467,4041,49959,47949,4206,50042,49838,4210,55868,54067,4529,64612,61436,4214,47094,44923
SAF,180,3457,3697,166,3482,3742,166,2892,3057,183,4665,4965,186,4745,4980,178,2857,2994,153,3707,3798
SAN,11524,113414,111364,11274,91825,94177,11421,99090,96463,11663,129457,132355,11817,148050,153069,9922,83460,81073,10999,119617,121273
SAT,4634,43361,44440,4585,42543,43350,4595,43235,43352,4631,47406,47219,4733,52335,51058,3623,34813,33925,4224,41366,41485
SAV,1045,15126,14414,1061,15038,15458,1061,13240,12786,1055,15212,15028,1078,16033,15687,1023,11853,11184,1003,12179,11739
SBA,879,15950,16823,848,12846,13193,880,14334,14887,876,14609,15090,896,15471,16141,744,7740,8055,860,13624,14032
SBN,788,12523,12359,802,9969,10270,806,9599,9940,801,12546,13108,813,10877,11053,548,5979,5843,756,7818,8681
SBP,448,4450,5159,443,6639,6969,450,4614,5109,446,5529,5945,454,6818,7225,508,6152,6301,444,6648,7239
SCC,130,274,345,130,212,268,104,477,533,103,353,467,132,486,600,132,857,619,103,327,366
SCE,109,676,966,108,2108,2229,103,1409,1500,109,1759,1940,110,1215,1330,98,1200,1293,109,888,1026
SDF,1486,15692,15147,1463,16778,16186,1467,15639,15342,1479,19830,19305,1509,21802,20534,1136,10083,9204,1430,16223,16120
SEA,19479,188945,191026,18618,155810,156102,19246,139357,148888,19442,174129,184223,19984,201059,217100,17341,144411,148695,18840,151189,157856
SFO,25614,393144,382103,24955,291994,280610,25277,293361,285576,25749,392990,390381,26322,503093,501982,21002,264860,245815,24276,372797,363736
SGF,410,5604,5645,404,3511,3517,402,3238,3509,416,5272,5649,425,5571,5626,341,3814,4364,402,4948,4875
SGU,298,2679,2847,300,1703,2031,299,1434,1817,310,1811,2150,314,1826,2156,254,1029,1120,304,1923,2072
SHV,888,12174,13057,865,11365,12345,893,9766,9960,891,11900,12932,906,11720,12192,669,7752,7858,833,12366,13002
SIT,200,1017,1266,199,1646,1722,199,1263,1406,198,1203,1054,199,1667,1741,200,2038,1855,175,1195,1230
SJC,6402,58707,59333,6297,48991,48782,6396,50692,50682,6403,70246,69163,6567,84811,85138,4501,40179,38478,5738,71700,70624
SJT,141,2692,2974,144,3930,4008,144,1366,1544,144,2109,2536,147,2848,3294,133,1715,1762,157,1930,2318
SJU,3806,47681,46428,3637,40981,39586,3562,37536,35600,3698,40659,38839,3874,48609,46084,4420,56441,54970,4151,48525,46021
SLC,16041,145122,152996,15900,122558,127905,15972,103870,106243,16120,146972,158626,16380,140667,146317,13233,96405,100517,15376,145750,153915
SMF,6209,66296,66297,6101,58329,56379,6191,55769,55561,6255,77133,76596,6307,75849,77376,4703,43761,42846,5658,62908,62321
SMX,80,1317,1438,80,1129,1111,80,1477,1494,78,2015,1990,79,1361,1428,80,1208,1299,80,1482,1547
SNA,6442,61485,59630,6379,48644,47804,6457,55111,54362,6486,64301,63536,6596,73744,74029,4872,40443,37927,5624,58264,57304
SPI,255,4810,5230,246,2726,2916,246,2110,2298,255,2734,3070,259,3373,3588,226,2891,2904,251,4389,4456
SPS,119,2480,2709,122,1549,1589,121,872,1032,124,1097,1176,124,2283,2462,118,759,748,119,2533,2467
SRQ,469,7263,6723,465,5709,5748,466,8346,7262,469,5997,5906,487,7034,6181,467,8561,7907,458,4850,4517
STL,8281,90038,86114,8260,86297,84440,8375,98592,98665,8340,98691,94477,8473,101881,98725,6471,69056,66930,7627,88546,85242
STT,678,9236,8880,638,6788,6911,616,6494,6637,687,7917,7548,723,11111,11131,987,13907,14057,781,11575,11054
STX,152,1082,1191,147,1887,1932,166,1644,1566,144,2352,2377,151,805,910,227,2161,2196,156,2525,2532
SUN,174,2645,2746,155,2040,2185,169,1467,1601,175,2399,2493,182,2339,2387,212,2004,2419,187,1852,1958
SWF,106,2122,1942,104,1205,1238,104,1073,1040,102,1336,1261,106,1537,1553,106,1693,1700,108,1998,1961
SYR,881,11972,12736,861,10290,11070,866,10839,12158,890,12422,13465,910,13595,13860,692,6559,6901,794,10367,10934
TLH,385,4403,4604,382,4218,4069,378,3744,3751,386,3483,3243,393,4507,4425,291,1431,1561,353,4403,4121
TPA,9943,109414,105736,9637,105316,100672,9816,105794,102830,9864,114914,112758,10119,126910,120842,9434,113330,107038,9537,104822,101504
TRI,326,3385,3423,334,4956,4852,334,5451,5080,333,4582,4366,338,4931,5011,218,1780,1609,278,4322,4063
TTN,300,3536,3535,297,4254,4199,299,4188,4357,298,4134,4326,306,4915,5012,310,5182,5436,299,4666,4378
TUL,2139,19985,21084,2082,14860,15320,2114,15420,15528,2142,20236,21096,2184,18671,19176,1565,14304,15085,1948,19286,19186
TUS,2335,23617,23714,2279,23055,23862,2313,24610,25017,2331,24251,24490,2399,29234,29328,2248,22348,21354,2297,27783,27068
TVC,301,3407,3221,313,3274,3368,294,3348,3493,302,4090,4091,314,3694,3700,330,5291,5119,371,6130,6197
TWF,161,1181,1126,169,1408,1377,160,384,428,154,1083,1336,171,2586,2869,124,866,881,157,1241,1370
TXK,134,2394,2623,102,675,862,130,1016,1278,132,4029,4309,135,2977,3146,97,1135,1200,125,1713,1928
TYR,66,360,401,59,141,178,60,10,61,61,423,451,64,552,574,52,316,281,52,320,340
TYS,1119,13001,13918,1032,11942,12078,1064,13537,14606,1080,15909,16505,1134,15212,15503,749,7952,7983,1039,11984,12211
UST,25,393,355,28,908,865,27,269,294,29,488,546,29,502,507,29,448,448,28,270,426
VLD,153,1371,1558,156,1666,1730,156,1748,1714,155,2624,2828,156,2699,2760,106,1060,1113,146,1460,1605
VPS,616,8199,7330,597,6905,6757,604,7911,7875,610,5787,5812,636,5551,5564,566,5537,5152,581,5500,5507
WRG,104,651,686,104,793,782,104,1251,1319,102,406,385,106,855,911,106,1034,1004,102,940,884
WYS,34,321,281,19,111,70,27,118,119,37,194,227,37,173,137,35,267,233,35,610,610
XNA,909,13741,13654,918,14637,14755,917,10352,10736,936,10392,10811,944,14959,15330,499,7111,7306,656,9683,9846
YAK,103,435,192,104,369,394,104,289,312,102,373,421,104,264,367,106,707,814,102,383,432
YUM,294,2543,2872,262,797,1076,273,1221,1311,296,2153,2186,303,2248,2316,246,1402,1529,286,2119,2289
